"title","conference_name","url"
"Making Up 3D Bodies: Artistic and Serendipitous Modeling of Digital Human Figures","ACM Siggraph 2021",NULL
"Ming Shan Digital Experience: Immersive Technology for Traditional Taoist Meditation","ACM Siggraph 2021",NULL
"Reversal, Disconnect, and Proposition: Noise and Data Politics in the Work of Julian Oliver and Trevor Paglen","ACM Siggraph 2021",NULL
"Spinning the Conductors of an Indigenous Tradition: Toward a Continuity of Traditional Andean Weaving with New Electronic Technologies","ACM Siggraph 2021",NULL
"drop: An Interactive Art Installation with Waterdrop Projection-Mapping","ACM Siggraph 2021",NULL
"Mimicry: Genetic-algorithm-based Real-time System of Virtual Insects in a Living Environment-A New and Altered Nature","ACM Siggraph 2021",NULL
"ReMember: Using Biosignals to Recall Memories of Companion Animals","ACM Siggraph 2021",NULL
"The Woods: A Mixed-Reality Two-Player Cooperative Game","ACM Siggraph 2021",NULL
"Enhanced Family Tree: Evolving Research and Expression: Best Paper Award","ACM Siggraph 2020",NULL
"REALational Perspectives: Strategies for Expanding beyond the Here and Now in Mobile Augmented Reality (AR) Art","ACM Siggraph 2020",NULL
"Inverse-Rendering-Based Analysis of the Fine Illumination Effects in Salvator Mundi","ACM Siggraph 2020",NULL
"Stepping Inside the Classification Cube: An Intimate Interaction with an AI System","ACM Siggraph 2020",NULL
"Body RemiXer: Extending Bodies to Stimulate Social Connection in an Immersive Installation","ACM Siggraph 2020",NULL
"Resonant Waves: Immersed in Geometry","ACM Siggraph 2020",NULL
"Cultural Viz: An Aesthetic Approach to Cultural Analytics","ACM Siggraph 2020",NULL
"Artistic License in Heritage Visualization: VR Sydney Cove circa 1800: SIGGRAPH Asia 2019 Featured Paper","ACM Siggraph 2020",NULL
"Animated Robotic Sculptures: Using SMA Motion Display to Create Lifelike Movements","ACM Siggraph 2020",NULL
"Visual Indeterminacy in GAN Art","ACM Siggraph 2020",NULL
"Hybrid Embroidery: Exploring Interactive Fabrication in Handcrafts","ACM Siggraph 2020",NULL
"Pixel of Matter: New Ways of Seeing with an Active Volumetric Filmmaking System","ACM Siggraph 2020",NULL
"Rilievo: Artistic Scene Authoring via Interactive Height Map Extrusion in VR","ACM Siggraph 2020",NULL
"the Unknown Person: Post-Colonial Fictioning, Personal Stories and Surveillance","ACM Siggraph 2020",NULL
"Cacophonic Choir: An Interactive Art Installation Embodying the Voices of Sexual Assault Survivors","ACM Siggraph 2020",NULL
"Reimagining Animation Making through Style Transfer","ACM Siggraph Asia 2023",NULL
"Alternative Photographic Processes Reimagined: The Role of Digital Technology in Revitalizing Classic Printing Techniques","ACM Siggraph Asia 2023",NULL
"Computational Three Distances: Exploring the Aesthetics of the Southern Song Dynasty and Its Adapted Simulation and Rendering","ACM Siggraph Asia 2023",NULL
"AI-Generated Imagery: A New Era for the `Readymade`","ACM Siggraph Asia 2023",NULL
"Robotics-Based Interventions for Children’s Creativity","ACM C&C 2021",NULL
"AI Nüshu: An Exploration of Language Emergence in Sisterhood Through the Lens of Computational Linguistics","ACM Siggraph Asia 2023",NULL
"Ghost in the Machine: Discourses with AI","ACM Siggraph Asia 2023",NULL
"Environmental Inversion: A Collection of Artworks that Subvert Methods of Climate Change Action","ACM Siggraph Asia 2023",NULL
"Exploring the Eco-Digital: Performative Sensing with Plants and Data","ACM Siggraph Asia 2023",NULL
"see-saw: A Kinetic Installation that Unfolds in Silence Driven by Liquid Flow","ACM Siggraph Asia 2023",NULL
"The Most Expensive Museum in the World: Three Player Cooperative Game Between VR and PC Platforms Investigating Empathy between Players and Historical Characters.","ACM Siggraph Asia 2023",NULL
"Exploring Automatic Fitness Evaluation for Evolutionary Typesetting","ACM C&C 2021",NULL
"Reflection on Abstract Art through Kandinsky's Teaching: Reflection on Abstract Art through Reconstruction of Kandinsky's Teaching at the Bauhaus","ACM Siggraph Asia 2023",NULL
"Media Interpretation: Revisiting McLuhans' Laws of Media and Ant Farm","ACM Siggraph Asia 2023",NULL
"“Achi Mukua Experience Space”——A Multi-Player Immersive Experience of Yunnan ICH Dance","ACM Siggraph Asia 2023",NULL
"Artistic license in heritage visualisation: VR Sydney cove circa 1800","ACM Siggraph Asia 2019",NULL
"Hybrid animation production and the dream of flight","ACM Siggraph Asia 2019",NULL
"Narrative's impact on quality of experience in digital storytelling","ACM Siggraph Asia 2019",NULL
"""Rebooting memories"": creating ""flow"" and inheriting memories from colorized photographs","ACM Siggraph Asia 2019",NULL
"Hand Thought: Craft-oriented hybrid analogue/digital practice and a Digital Craft Ethos","ACM TEI 2024",NULL
"Whispers from Silken Margins: Crafting Subtle Narratives in Silk-Defined Spaces","ACM TEI 2024",NULL
"Shadowplay: An Embodied AI Art Installation","ACM TEI 2024",NULL
"Visions Of Destruction: Exploring Human Impact on Nature by Navigating the Latent Space of a Diffusion Model via Gaze","ACM TEI 2024",NULL
"'イ'(1926) by BioLuminescent Bacteria","ACM TEI 2024",NULL
"Tangible VFX: Physical Objects with Added VFX Effects","ACM TEI 2024",NULL
"Feu Autonome Type 189: Untitled, One Dimensional Generative, Reconstructed, Found Object","ACM TEI 2024",NULL
"Sensitive Wing: Reclaiming Ownership","ACM TEI 2024",NULL
"VR SuperGun: Installation Edition","ACM TEI 2024",NULL
"The Nalima: A Multistable Membrane Instrument with Integrated Excitation","ACM TEI 2024",NULL
"Between This and That is It: Embodied Semantic Space at the Edge","ACM TEI 2024",NULL
"Mouja: Experiencing AI through Magnetic Interactions","ACM TEI 2024",NULL
"Unwilling Author: Exploring Anthropomorphic Rebellion of the Diary Writing Machine","ACM TEI 2024",NULL
"Stories Incarnate: Designing embodied, interactive storytelling experiences for live audiences","ACM C&C 2021",NULL
"Puppetry in Tangible Narratives: Interactive and Collaborative Storytelling in The Non-myth of the Noble Red","ACM TEI 2024",NULL
"Liminal Space: A Performance with RaveNET","ACM TEI 2024",NULL
"Contingent Dreams","ACM TEI 2023",NULL
"A Grain of: A Multimodal Representation of the City’s Ecology Through Material and Sound","ACM TEI 2023",NULL
"Rejected By My Own Robot: Studying the Potential for Artists to Subvert Technological Expectations Using Critical Design","ACM TEI 2023",NULL
"IIOO IS NOT HERE - Building and exhibiting media art installation with novel modular tangible programming interface","ACM TEI 2023",NULL
"Iris","ACM TEI 2023",NULL
"Swoosh, Pop, and Kerplunk: Toys for Tangible Listening in Children","ACM TEI 2023",NULL
"I Feel You: Exploring possibilities to create touch-responsive woven textiles imitating living beings","ACM TEI 2023",NULL
"InTangible: A Reflection On Digital vs. Physical Co-Ownership","ACM TEI 2023",NULL
"Dépaysement: Embracing Physicality—Transforming Computational Visual Music to Fine Art Monotype","ACM TEI 2023",NULL
"Strange Loops : Augmenting Feelings","ACM TEI 2023",NULL
"Psychedelic Forms - Ceramics and Physical Form in Conversation with Deep Learning","ACM TEI 2023",NULL
"RisingEMOTIONS: Bridging Art and Technology to Visualize Public’s Emotions about Climate Change","ACM C&C 2021",NULL
"Telextiles: End-to-end Remote Transmission of Fabric Tactile Sensation","ACM UIST 2023",NULL
"The Life of a Building: Machine Knitting a Year of Visitor Data and Online Community Participation During a Pandemic","ACM TEI 2022",NULL
"Empty Mind: an exploration towards an autonomous digital experience and aesthetics within a virtual live performance","ACM TEI 2022",NULL
"Algorithmic Rituals: Participatory and Embodied Explorations of Algorithmic Decision-Making","ACM TEI 2022",NULL
"CHIKYUCHI: In-person/remote game exhibition for climate change influence","ACM TEI 2022",NULL
"AuxeticBreath: Changing Perception of Respiration","ACM TEI 2021",NULL
"‘Orrery Arcana’: An Esoteric System for Improvisational Performance","ACM TEI 2021",NULL
"Roads in You: Matching and Visualizing Veins and Roads in 3D","ACM TEI 2021",NULL
"“Footsie”: Exploring Physical Human-Machine-Interaction through Flirtatious Furniture","ACM TEI 2021",NULL
"is a rose – A Performative Installation between the Tangible and the Digital","ACM TEI 2021",NULL
"Topographie Digitale","ACM TEI 2021",NULL
"Algorithmic Ways of Seeing: Using Object Detection to Facilitate Art Exploration","ACM CHI 2024",NULL
"Art or Artifice? Large Language Models and the False Promise of Creativity","ACM CHI 2024",NULL
"Generative AI in Creative Practice: ML-Artist Folk Theories of T2I Use, Harm, and Harm-Reduction","ACM CHI 2024",NULL
"Jess+: AI and robotics with inclusive music-making","ACM CHI 2024",NULL
"Authors' Values and Attitudes Towards AI-bridged Scalable Personalization of Creative Language Arts","ACM CHI 2024",NULL
"A11yBoard: Making Digital Artboards Accessible to Blind and Low-Vision Users","ACM CHI 2023",NULL
"DuoRhythmo: Design and remote user experience evaluation (UXE) of a collaborative accessible digital musical interface (CADMI) for people with ALS (PALS)","ACM CHI 2023",NULL
"Hacking, Switching, Combining: Understanding and Supporting DIY Assistive Technology Design by Blind People","ACM CHI 2023",NULL
"Sparkling Silence: Practices and Challenges of Livestreaming Among Deaf or Hard of Hearing Streamers","ACM CHI 2023",NULL
"Understanding Tensions in Music Accessibility Through Song Signing for and with d/Deaf and Non-d/Deaf Persons","ACM CHI 2023",NULL
"Understanding Visual Arts Experiences of Blind People","ACM CHI 2023",NULL
"MagneTip: Reintroducing a Physical Interaction Loop for 3D Musical Drawing in eXtended Reality","NIME 2024",NULL
"Take Five: Improving Maintainability and Reliability of the T-Stick","NIME 2024",NULL
"Bibliometric Analysis of NIME References and Citations","NIME 2024",NULL
"Housework Commons: Rheostat Rotary Rack","NIME 2024",NULL
"Harmonic Words, Narrative Chords: Textual Sonification Using Part of Speech","NIME 2024",NULL
"Bishop BoomBox: A Physically Accessible Drum Machine","NIME 2024",NULL
"Transferable Microgestures Across Hand Posture and Location Constraints: Leveraging the Middle, Ring, and Pinky Fingers","ACM UIST 2023",NULL
"Riddare of The Round Table: Inclusive Haptic Performance Practices in The Wild","NIME 2024",NULL
"Participatory Design of a Collaborative Accessible Digital Musical Interface with Children with Autism Spectrum Disorder","NIME 2024",NULL
"Co-Designing Haptic Instruments With Deaf and Hard-of-Hearing Children","NIME 2024",NULL
"Opening DAWs to Interactive Music - Making an Orchestra out of Soloists","NIME 2024",NULL
"The Conductive Kinetic Box","NIME 2024",NULL
"dB: A Web-based Drummer Bot for Finger-Tapping","NIME 2024",NULL
"Technology-mediated haptic interactions in Dhrupad vocal music pedagogy: what next?","NIME 2024",NULL
"The Period Instrument","NIME 2024",NULL
"Today and Yesterday: Two Case Studies of China's NIME Community","NIME 2022",NULL
"A Toolkit for the Analysis of the NIME Proceedings Archive","NIME 2022",NULL
"Being With The Waves: An Ultrasonic Art Installation Enabling Rich Interaction Without Sensors","NIME 2022",NULL
"User-Friendly MIDI in the Web Browser","NIME 2022",NULL
"Buttons, Sliders, and Keys: A Survey on Musical Grid Interface Standards","NIME 2022",NULL
"Voice at NIME: a Taxonomy of New Interfaces for Vocal Musical Expression","NIME 2022",NULL
"GestoLumina: Gesture interpreted Light, Sound and Haptics. Towards a Framework for Universal Music Design","NIME 2024",NULL
"CordChord: A String Instrument with Optical Sensing","NIME 2024",NULL
"Resurfacing an Enactive Approach for Instrument Design: The case of the Tangible Granular Device","NIME 2024",NULL
"Body Lutherie: Co-Designing a Wearable for Vocal Performance with a Changing Body","NIME 2024",NULL
"Exploring Design Patterns for Spatial Instruments: User-Driven Strategies, Spatialized Synthesis and Loudspeaker Topologies","NIME 2024",NULL
"The Hyper-Ney: An Enhanced Traditional Flute","NIME 2024",NULL
"Juggling for Beginners: Embracing and Fabricating Failure as Musical Expression","NIME 2024",NULL
"The Sophtar: a networkable feedback string instrument with embedded machine learning","NIME 2024",NULL
"Evaluation of an Interactive Music Performance System in the Context of Irish Traditional Dance Music","NIME 2024",NULL
"Playing with Resistance","NIME 2024",NULL
"Transhuman Ansambl - Voice Beyond Language","NIME 2024",NULL
"Suggested Practices for Creating an Inclusive Hackerspace for Music/Sound/NIMEs","NIME 2024",NULL
"Overview of NIME Techniques Applied to Traditional Korean Instruments","NIME 2024",NULL
"Sonic Wings: A Wearable Live Electronics Device for Performing Mixed Music","NIME 2024",NULL
"HowMusical Is Dog? - An Interspecies Improvised Musical Collaboration","NIME 2024",NULL
"Gesture and Narrative: Blending Human Performance with Visual Storytelling","NIME 2024",NULL
"Designing a New Virtual Reality Interface for Interacting with Audio Spatialization Backends","NIME 2024",NULL
"Possible Applications of Knots in Computer Music and NIMEs","NIME 2024",NULL
"Harmonizing the Musical Metaverse: Unveiling Needs, Tools, and Challenges from Experts’ Point of View","NIME 2024",NULL
"Sonic Serendipity: Embracing Discovery in File Finder-Based Improvisation","NIME 2024",NULL
"User Needs in the Musical Metaverse: A Case Study with Electroacoustic Musicians","NIME 2024",NULL
"Ironing In The Creases: Developing An Idiosyncratic Electro-mechanical Musical Instrument By Reinforcing Its Faults","NIME 2024",NULL
"Muscle-Guided Guitar Pedalboard: Exploring Interaction Strategies Through Surface Electromyography and Deep Learning","NIME 2024",NULL
"Interactive Sonification of 3D Swarmalators","NIME 2024",NULL
"GrooveTransformer: A Generative Drum Sequencer Eurorack Module","NIME 2024",NULL
"Sustainable digital fabrication in NIME: Nine sustainability strategies for DMI production","NIME 2024",NULL
"MusiCane: an Accessible Digital Instrument inspired by the white cane","NIME 2024",NULL
"Tölvera: Composing With Basal Agencies","NIME 2024",NULL
"Longevity in NIME research: a case study using time-based media art preservation models","NIME 2024",NULL
"Reshaping Time: Exploring grid interfaces for ansiorhythmic patterns","NIME 2024",NULL
"Exploring Diverse Forms of Bareëmins: A Multifaceted Study on Painted Panels and Sculptures as The Site of Performance, Instruments, and Scores","NIME 2024",NULL
"Two Experimental Instruments Inspired by Radio Technologies","NIME 2024",NULL
"Agency and Creativity in Musical Interaction for Those Living with Dementia and Cognitive Decline","NIME 2024",NULL
"The Obstacle Course of DMI Performance: Two Case Studies with T-Stick and Karlax","NIME 2024",NULL
"I Am Sitting in a (Latent) Room","NIME 2024",NULL
"Occupational Therapy Methods in the Design of Accessible Musical Instruments","NIME 2024",NULL
"Voice Responsive Virtual Reality","NIME 2024",NULL
"ChuGL: Unified Audiovisual Programming in ChucK","NIME 2024",NULL
"Concerts of the Future: Designing an interactive musical experience in VR","NIME 2024",NULL
"Sonic Structures: 4E Visual Sound in Multi-User Mixed Reality","NIME 2024",NULL
"Stacco: Exploring the Embodied Perception of Latent Representations in Neural Synthesis","NIME 2024",NULL
"Querying the Ghost: AI Hauntography in NIME","NIME 2024",NULL
"Interface Modules for Extended Reality in Music","NIME 2024",NULL
"Challenges and Prospects in Remote Cross-cultural Musical Interface Design","NIME 2024",NULL
"Expanding the saxophone with different tone generators and a foot controller for complementary voices","NIME 2024",NULL
"Creative Practice as an Evaluation Method: A Case Study with a Movement-based Musical Instrument","NIME 2024",NULL
"Pain Creature: interdisciplinary collaboration in the design of an embodied textile instrument for interactive dance","NIME 2024",NULL
"Xyborg: A Wearable Hand-based Instrument for Musical Expression","NIME 2024",NULL
"Pharosphones: interactive audience participation using light","NIME 2024",NULL
"Sygaldry: DMI Components First and Foremost","NIME 2024",NULL
"Esteso: Interactive AI Music Duet Based on Player-Idiosyncratic Extended Double Bass Techniques","NIME 2024",NULL
"R-FF: A Single Reed Haptic Library for the TorqueTuner","NIME 2024",NULL
"Insights Into How Digital Luthiers Approach Design","NIME 2024",NULL
"ClimaSynth: Enhancing Environmental Perception through Climate Change Sonic Interaction","NIME 2024",NULL
"About TIME: Textile Interfaces for Musical Expression","NIME 2024",NULL
"Accessibility of Graphic Scores: Design and Evaluation of Tactile Supports for Blind People","NIME 2024",NULL
"Tungnaá: a Hyper-realistic Voice Synthesis Instrument for Real-Time Exploration of Extended Vocal Expressions","NIME 2024",NULL
"VVRMA: VRField Trip to a Computer Music Center","NIME 2024",NULL
"What’s up ChucK? Development Update 2024","NIME 2024",NULL
"ChAI => Interactive AI Tools in ChucK","NIME 2024",NULL
"VocalCords: Exploring Tactile Interaction & Performance with the Singing Voice","NIME 2024",NULL
"The Lorentz Lap Brass: Method for Frugal Integrated Sonic/Haptic Interaction","NIME 2024",NULL
"A Self-Sensing Haptic Actuator for Tactile Interaction with Physical Modelling Synthesis","NIME 2024",NULL
"Toward Musical Cosmotechnics: the case of zhu nao 竹脑 — a bamboo-based instrument","NIME 2024",NULL
"Building Sketch-to-Sound Mapping with Unsupervised Feature Extraction and Interactive Machine Learning","NIME 2024",NULL
"Sonic Touch: A Haptic Toolkit for Fast Vibrotactile Prototyping","NIME 2024",NULL
"The Electrobass: A New Electronic Instrument Inspired By The Bass Guitar","NIME 2024",NULL
"Thermal Music: Exploring Sensation of Temperature as a Performance Parameter","NIME 2024",NULL
"Hand Turned Synthesis: A One Chip Exploration of CMOS Electronics","NIME 2024",NULL
"DoongDoong.club: A Web-Based Metaverse Music Sequencer With Korean Onomatopoeic and Mimetic Words","NIME 2024",NULL
"RayTone: A Node-based Audiovisual Sequencing Environment","NIME 2024",NULL
"Resonant Object Interface: Implementation and Initial Exploration of a Tactile Acoustic Interface","NIME 2024",NULL
"Choreographing Sound: Co-creating Music and Movement through Touch with the Magical Musical Mat","NIME 2024",NULL
"Designing DMIs with(in) a Music Culture: A Participatory Design Process with the Xambá Quilombola Community","NIME 2024",NULL
"Real-time Timbre Remapping with Differentiable DSP","NIME 2024",NULL
"Dextoria– An embedded system to control electric guitar effects via sound-producing gestures","NIME 2024",NULL
"Stitch: a Knitting-powered Musical Interface using Computer Vision","NIME 2024",NULL
"SoundMorphTPU: Exploring Gesture Mapping in Deformable Interfaces for Music Interaction","NIME 2024",NULL
"Malletwand: the Pendulum as a Handheld Interface to Musical Timing","NIME 2024",NULL
"Coupled Oscillator Networks: Perspectives on Synchronization and Nonlinear Musical Frameworks","NIME 2024",NULL
"Studying Subtle and Detailed Digital Lutherie: Motivational Contexts and Technical Needs","NIME 2023",NULL
"A Human-Agents Music Performance System in an Extended Reality Environment","NIME 2023",NULL
"Explorator Genus: Designing Transportable Mechatronic Sound Objects for Outdoor Installation Art","NIME 2023",NULL
"LoopBoxes– Evaluation of a Collaborative Accessible Digital Musical Instrument","NIME 2023",NULL
"Legatus: Design and Exhibition of Loudspeaker-Based, Environmentally-Reactive, Soundscape Augmentation Artifacts in Outdoor Natural Environments","NIME 2023",NULL
"Where Few NIMEs Have Gone Before: Lessons in instrument design from Star Trek","NIME 2023",NULL
"Making Frugal Spatial Audio Systems Using Field-Programmable Gate Arrays","NIME 2023",NULL
"Prehistoric NIME: Revisiting Research on New Musical Interfaces in the Computer Music Community before NIME","NIME 2023",NULL
"Self-Sabotage Workshop: a starting point to unravel sabotaging of instruments as a design practice","NIME 2023",NULL
"Music jamming as a participatory design method. A case study with disabled musicians","NIME 2023",NULL
"The Puara Framework: Hiding complexity and modularity for reproducibility and usability in NIMEs","NIME 2023",NULL
"Joakinator: An Interface for Transforming Body Movement and Perception through Machine Learning and Sonification of Muscle-Tone and Force","NIME 2023",NULL
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","NIME 2023",NULL
"Stringesthesia: Dynamically Shifting Musical Agency Between Audience and Performer Based on Trust in an Interactive and Improvised Performance","NIME 2023",NULL
"Serge Modular Archive Instrument (SMAI): Bridging Skeuomorphic & Machine Learning Enabled Interfaces","NIME 2023",NULL
"Mobility, Space and Sound Activate Expressive Musical Experience in Augmented Reality","NIME 2023",NULL
"Ethically Aligned Stakeholder Elicitation (EASE): Case Study in Music-AI","NIME 2023",NULL
"The Rearranger Ball: Delayed Gestural Control of Musical Sound using Online Unsupervised Temporal Segmentation","NIME 2023",NULL
"Sharing the Same Sound: Reflecting on Interactions between a Live Coder and a Violinist","NIME 2023",NULL
"Towards the T-Tree 2.0: Lessons Learned From Performance With a Novel DMI and Instrument Hub","NIME 2023",NULL
"Pipeline for recording datasets and running neural networks on the Bela embedded hardware platform","NIME 2023",NULL
"An embedded wavetable synthesizer for the electronic bandoneon with parameter mappings based on acoustical measurements","NIME 2023",NULL
"WYPYM: A Study for Feedback-Augmented Bass Clarinet","NIME 2023",NULL
"Brushing Interface- DIY multi-touch interface for expressive gestural performance","NIME 2023",NULL
"DIGITL: A Reduction of Guitar","NIME 2023",NULL
"Redesigning the Chowndolo: a Reflection-on-action Analysis to Identify Sustainable Strategies for NIMEs Design","NIME 2023",NULL
"WebChucK: Computer Music Programming on the Web","NIME 2023",NULL
"Affordable Speaker Arrays","NIME 2023",NULL
"Tools and Techniques for the Maintenance and Support of Digital Musical Instruments","NIME 2023",NULL
"HarMIDI: Sensor System To Read MIDI from Indian Harmoniums","NIME 2023",NULL
"The Living Looper: Rethinking the Musical Loop as a Machine Action-Perception Loop","NIME 2023",NULL
"Soundwalking Deep Latent Spaces","NIME 2023",NULL
"Completing Audio Drum Loops with Symbolic Drum Suggestions","NIME 2023",NULL
"Co-Creative Spaces: The Machine as a Collaborator","NIME 2023",NULL
"A FLexible Musical Instrument Augmentation that is Programmable, Integrated in a Box (FLAPIBox)","NIME 2023",NULL
"LiveLily: An Expressive Live Sequencing and Live Scoring System Through Live Coding With the Lilypond Language","NIME 2023",NULL
"Exploring Emerging Drumming Patterns in a Chaotic Dynamical System using ZRob","NIME 2023",NULL
"eTu{d,b}e: case studies in playing with musical agents","NIME 2023",NULL
"Exploring Locomotion Methods with Upright Redirected Views for VR Users in Reclining & Lying Positions","ACM UIST 2023",NULL
"Learning Custom Experience Ontologies via Embedding-based Feedback Loops","ACM UIST 2023",NULL
"AWearable Technology for Wind Musicians: Does It Matter How you Breathe?","NIME 2023",NULL
"Leveraging Android Phones to Democratize Low-level Audio Programming","NIME 2023",NULL
"Reembodied Sound and Transducer-actuated Instruments in Refraction Interlude","NIME 2023",NULL
"A Sustained Relationship with Large Instruments: a Case against the Convenient Interface","NIME 2023",NULL
"Oscillations: Composing a Performance Ecosystem through a Sonic Cyberfeminist Lens","NIME 2023",NULL
"Principles of Instrument and System Design for LaptOperas","NIME 2023",NULL
"Machine Learning for Musical Expression: A Systematic Literature Review","NIME 2023",NULL
"Culture and Politics of Machine Learning in NIME: A Preliminary Qualitative Inquiry","NIME 2023",NULL
"A Scale-Based Ontology of Digital Musical Instrument Design","NIME 2023",NULL
"Transmitting Digital Lutherie Knowledge: The Rashomon Effect for DMI Designers","NIME 2023",NULL
"Sound guiding action: the effect of timbre on learning a new percussive DMI for beginner musicians","NIME 2023",NULL
"Ergodynamics of String Feedback Control interface design for the halldorophone","NIME 2023",NULL
"Laser Phase Synthesis","NIME 2023",NULL
"Jacdac-for-Max: Plug-and-Play Physical Prototyping of Musical Interfaces","NIME 2023",NULL
"Magnetic Interactions as a Somatosensory Interface","NIME 2023",NULL
"Touch Interaction for Corpus-based Audio–Visual Synthesis","NIME 2023",NULL
"Musical pathways through the no-input mixer","NIME 2023",NULL
"The Electrosteel: An Electronic Instrument Inspired by the Pedal Steel Guitar","NIME 2023",NULL
"RawData, Rough Mix: Towards an Integrated Practice of Making, Performance and Pedagogy","NIME 2023",NULL
"Steelpan-specific pitch detection: a dataset and deep learning model","NIME 2023",NULL
"AbletonOSC: A unified control API for Ableton Live","NIME 2023",NULL
