"author_name","paper_title"
"Alenda Y. Chang","Reinterpreting Korean ‘True-View’ Landscape Painting Using Graphics Analysis Techniques - The Case of Jeong Seon’s Dosando"
"Alessandro Adamou","Experiential Observations: An Ontology Pattern-Based Study on Capturing the Potential Content within Evidences of Experiences"
"Alessandro Adamou","The Facets of Intangible Heritage in Southern Chinese Martial Arts: Applying a Knowledge-driven Cultural Contact Detection Approach"
"Alessandro Fiordelmondo","Reactivating and Preserving Interactive Multimedia Artworks: An Analog Performance from the Seventies"
"Alessandro Fiordelmondo","Longevity in NIME research: a case study using time-based media art preservation models"
"Alessandro Ludovico","Fake publishing as art and activism"
"Alessandro Mosca","Editorial: Special Issue on Semantic Web and Ontology Design for Cultural Heritage"
"Alessandro Palladini","Towards a Human-Centric Design Framework for AI Assisted Music Production"
"Alessandro Rizzi","FiRe2: An Online Database for Photographic and Cinematographic Film Technical Data"
"Alessio Antonini","Experiential Observations: An Ontology Pattern-Based Study on Capturing the Potential Content within Evidences of Experiences"
"Alessio Gabriele","User Needs in the Musical Metaverse: A Case Study with Electroacoustic Musicians"
"Alex Bundy","Cacophonic Choir: An Interactive Art Installation Embodying the Voices of Sexual Assault Survivors"
"Alex Bäuerle","VegaProf: Profiling Vega Visualizations"
"Alex Champagne","Investigation of a Novel Shape Sensor for Musical Expression"
"Alex Coulombe","A Tale of Two Productions: A Christmas Carol On Stage and in VR"
"Alex Custodio","The Sun Is in Your Hand(held): mediating solar imaginaries and technological ambivalence"
"Alex Duque","The Boca Bauhaus Marcel Breuer, BRiC and Lynn University’s NFT museum"
"Alex García Topete","Translating disciplinary practices for trans-sentient collaboration"
"Alex Hass","Stonemaps: A Slow Intentional Network for Collective Sentience"
"Alex Hofmann","Challenges and Prospects in Remote Cross-cultural Musical Interface Design"
"Alex Lambert","Abstracts from the Spectra 2018 Symposium Part 9: Empathy"
"Alex Lucas","Cross-Pollinating Ecological Perspectives in ADMI Design and Evaluation"
"Alex Lucas","The Longevity of Bespoke, Accessible Music Technology: A Case for Community"
"Alex M. Lee","Playing with Emotions: Biosignal-based Control in Virtual Reality Game Project H.E.A.R.T"
"Alex MacLean","Immersive Dreams: A Shared VR Experience"
"Alex May","Unruly objects: NFTs, blockchain technologies and bio-conservation"
"Alex May","Fermenting Futures: An Artistic Exploration of Yeast Biotechnology"
"Alex Mazursky","ThermalRouter: Enabling Users to Design Thermally-Sound Devices"
"Alex McLean","Algorithmic Pattern"
"Alex Young","A brief constellation towards a ruderal futurism"
"Alexa Ann Bonomo","Codex Endogenous: Designing Interactive Self Data Visualization Tool for Trauma Impacted Individuals"
"Alexa Becker","Future home stories: participatory predicaments and methodological scaffolding in narrative speculation on alternative domestic lives"
"Alexa Siu","TaleStream: Supporting Story Ideation with Trope Knowledge"
"Alexander Fiannaca","The Prompt Artists"
"Alexander Jagaciak","SoundsRide: Affordance-Synchronized Music Mixing for In-Car Audio Augmented Reality"
"Alexander Refsum Jensenius","RAW: Exploring Control Structures for Muscle-based Interaction in Collective Improvisation"
"Alexander Refsum Jensenius","Exploring Emerging Drumming Patterns in a Chaotic Dynamical System using ZRob"
"Alexander Refsum Jensenius","NIME and the Environment: Toward a More Sustainable NIME Practice"
"Alexander Refsum Jensenius","CAVI: A Coadaptive Audiovisual Instrument Composition"
"Alexander Refsum Jensenius","The O in NIME: Reflecting on the Importance of Reusing and Repurposing Old Musical Instruments"
"Alexander Szorkovszky","Interactive Sonification of 3D Swarmalators"
"Alexander Sánchez","An Ontological Approach for Unlocking the Colonial Archive"
"Alexander Wietho","Musical Grid Interfaces: Past, Present, and Future Directions"
"Alexander Wietho","Towards User Interface Guidelines for Musical Grid Interfaces"
"Alexander Wietho","TouchGrid – Combining Touch Interaction with Musical Grid Interfaces"
"Alexander Zonta","Affordances and Constraints of Modular Synthesis in Virtual Reality"
"Alexandra Bal","Sentience as The Antidote to Our Frenzied Mediated Selves"
"Alexandra Dementieva","Homo Sapiens, Mnesitardigrada Class and Umwelt: A Dialogue on Interspecies Organic Data Flow | Человек разумный, класс Mnesitardigrada и умвельт. Диалог о межвидовом органическом обмене данными"
"Alexandra Dulic","Approaching Sustainability: Generative Art, Complexity, and Systems Thinking"
"Alexandra Gonzenbach Perkins","Mapping the hyperlocal body: queer interventions in the performances of Felipe Rivas San Martín"
"Alexandra Hass","A Method to Being: The Time Space Scanner"
"Alexandra Ion","Parametric Haptics: Versatile Geometry-based Tactile Feedback Devices"
"Alexandra Ion","Constraint-Driven Robotic Surfaces, at Human-Scale"
"Alexandra Ion","Reprogrammable Digital Metamaterials for Interactive Devices"
"Alexandra Poulovassilis","Tracking Museums’ Online Responses to the COVID-19 Pandemic: A Study in Museum Analytics"
"Alexandra Simou","We are in the Army Now: a queer, mediatized, Covid-era theater show"
"Alexandre Burton","Feeling the Effort of Classical Musicians - A Pipeline from Electromyography to Smartphone Vibration for Live Music Performance"
"Alexandre Delmar","Notes from the Underdog"
"Alexandre Quessy","autonomX—Real Time Creation/Composition with Complex Systems"
"Alexandre Saunier","autonomX—Real Time Creation/Composition with Complex Systems"
"Alexandria Smith","DoongDoong.club: A Web-Based Metaverse Music Sequencer With Korean Onomatopoeic and Mimetic Words"
"Alexandros Drymonitis","LiveLily: An Expressive Live Sequencing and Live Scoring System Through Live Coding With the Lilypond Language"
"Alexis Morris","Intercultural Dialogue in Museums through Mixed Reality"
"Ali Adjorlu","DuoRhythmo: Design and remote user experience evaluation (UXE) of a collaborative accessible digital musical interface (CADMI) for people with ALS (PALS)"
"Ali Asadipour","Wander: An AI-driven Chatbot to Visit the Future Earth"
"Ali Asadipour","AI Nüshu: An Exploration of Language Emergence in Sisterhood Through the Lens of Computational Linguistics"
"Ali Hossaini","GROUPTHINK: Telepresence and Agency During Live Performance"
"Ali Mazalek","Stories Incarnate: Designing embodied, interactive storytelling experiences for live audiences"
"Ali Shtarbanov","SleeveIO: Modular and Reconfigurable Platform for Multimodal Wearable Haptic Feedback Interactions"
"Ali Zaidi","Learning Custom Experience Ontologies via Embedding-based Feedback Loops"
"Alice Eldridge","Self-resonating Vibrotactile Feedback Instruments ||: Making, Playing, Conceptualising :||"
"Alice Eldridge","Instrumental Investigations at the Emute Lab"
"Alice Eldridge","Shaping the behaviour of feedback instruments with complexity-controlled gain dynamics"
"Alice Giordani","Topographie Digitale"
"Alice Plutino","FiRe2: An Online Database for Photographic and Cinematographic Film Technical Data"
"Alice V. James","Symmetry in European Regional Folk Dress: A Multidisciplinary Analysis"
"Alicia Eugene","Troubleshooting as a method in COVID-19 times: smart home ethnographies and remote aged care innovation"
"Aliki Thomas","Piece of Mind: Presenting the Lived Experience and Scientific Research of Parkinson’s Disease through an Artistic Lens"
"Aliki Thomas","Piece of Mind: Mobilizing Scientific and Experiential Knowledge of Dementia through the Arts"
"Alina Fuchte","ARt chat - A Museum App combining AR, Art and Communication"
"Aline Prado Costa","Virtual Reconstruction of the Deconstructed Heritage: The Former Building of the Belo Horizonte School of Medicine"
"Alireza Rezaei","Multi-Temporal Image Analysis for Preventive Conservation of Historical Musical Instruments"
"Alis Pataquiva-Mateus","E-cellulose: symbiotic cultivation for the production of smart textiles in a framework of sustainable fashion and electronic art"
"Alison Pease","Musical creativity support tools for bereavement support"
"Aljosa Smolic","XR Ulysses: addressing the disappointment of cancelled site-specific re-enactments of Joycean literary cultural heritage on Bloomsday"
"Aljoša Smolic","Samuel Beckett in Virtual Reality: Exploring Narrative Using Free Viewpoint Video"
"Allan Gomes","Emergent. A post-pandemic living mobile gallery"
"Allan Graubard","Time of the Magicians: Wittgenstein, Benjamin, Cassirer, Heidegger and the Decade that Reinvented Philosophy"
"Allen Sayegh","Twinkle: A Flying Lighting Companion for Urban Safety"
"Allie E. S. Wist","Anarchiving the Anthropocene: Waste and relationality"
"Allyson Hindle","Visualizing Life in the Deep: A Creative Pipeline for Data-Driven Animations to Facilitate Marine Mammal Research, Outreach, and Conservation"
"Alon Ilsar","HowMusical Is Dog? - An Interspecies Improvised Musical Collaboration"
"Alon Ilsar","Reimagining (Accessible) Digital Musical Instruments: A Survey on Electronic Music-Making Tools"
"Alon Ilsar","AirSticks 2.0: Instrument Design for Expressive Gestural Interaction"
"Alon Ilsar","NIME or Mime: A Sound-First Approach to Developing an Audio-Visual Gestural Instrument"
"Alvaro Cassinelli","A Mixed Reality Installation to Elicit Reflexivity on Adverse Childhood Experiences"
"Alvise Vidolin","When the Computer Entered the Music Scene: The Collaboration between the Centro di Sonologia Computazionale and La Biennale di Venezia"
"Alwin de Rooij","The Innovation Potential of Sensory Augmentation for Public Space"
"Alwyn Collinson","Equality, findability, sustainability: the challenges and rewards of open digital humanities data"
"Amal Almansour","Tweet for help: the role of social media in disaster events and the case of the 2015 Mina stampede"
"Amal Zouaq","An Exploration of IFLA LRM for Literature Data Representation"
"Amal Zouaq","Comparing Heuristic Rules and Masked Language Models for Entity Alignment in the Literature Domain"
"Amalia Foka","Constructing an Artworld Influencer Network by Mining Social Media"
"Amalia Foka","Forging Emotions: A Deep Learning Experiment on Emotions and Art"
"Amanda C. de C. Williams","P(l)aying Attention: Multi-modal, multi-temporal music control"
"Amanda Henley","On the Books: Jim Crow and Algorithms of Resistance, a Collections as Data Case Study"
"Amanda Lilleston","Reinterpreted Spaces, an AI Printmaking Collaboration"
"Amanda Nicole Curtis","Explorations of Interactive Research Artifacts in Use: Applying Research through Design to Understand Ways Scholars Leverage Interactivity in their Research Practices"
"Amanda Swearngin","Never-ending Learning of User Interfaces"
"Amay Kataria","Supersynthesis: A Communal Synthesis"
"Amble Skuse","Creating an Online Ensemble for Home Based Disabled Musicians: why disabled people must be at the heart of developing technology"
"Amedeo Ceglia","Feeling the Effort of Classical Musicians - A Pipeline from Electromyography to Smartphone Vibration for Live Music Performance"
"Amelia Fernanda Uzategui Bonilla","Somatic Sauce 2020 – annotating Love Therapy and celebration"
"Aminder Virdee","Staring Back: Hacking Intersectional Oppression through Eco-Crip: Cybotanical Futures"
"Amir Albadvi","Deep Learning for Identifying Iran’s Cultural Heritage Buildings in Need of Conservation Using Image Classification and Grad-CAM"
"Amira Hanafi","Object-Oriented Ontology in Shaping Perspective on Bacterial Art and Nonhuman Agency"
"Amirhossein Hajiagha Memar","SleeveIO: Modular and Reconfigurable Platform for Multimodal Wearable Haptic Feedback Interactions"
"Amit D Patel","Pop-up for Collaborative Music-making"
"Amit R Zoran","Probabilistic Craft- Materialization of generated images using digital and traditional craft"
"Amit R Zoran","The Ghost in The Machine: Digital Stylization and Expressive Re-Materialization of Ancient Ceramics"
"Amit R Zoran","Fine Motor Skills: Operating standard robotic fabrication as a generative system"
"Amit Raphael Zoran","Pareidolia and the Pitfalls of Subjective Interpretation of Ambiguous Images in Art History"
"Amy Alexander","Always Only Once:” The paradox of preserving performative digital works"
"Amy Banić","Build Your Own Arcade Machine with Tinycade"
"Amy Holt","Co-creation Towards the Post-Anthropocene"
"Amy Karlson","STAR: Smartphone-analogous Typing in Augmented Reality"
"Amy Pavel","GenAssist: Making Image Generation Accessible"
"Amy S Hwang","Understanding Tensions in Music Accessibility Through Song Signing for and with d/Deaf and Non-d/Deaf Persons"
"Amy S. Robbins","Beyond Service-Subordination: Materials Experimentation in an Art-Science Collaboration"
"Amy Smith","AI-Generated Imagery: A New Era for the `Readymade`"
"Amy Zhang","Papeos: Augmenting Research Papers with Talk Videos"
"Amy-Claire Huestis","Nest-works"
"Amílcar Cardoso","Glowing Lichen: Visually sensing social spaces"
"Ana Cabral Martins","The Political and Social Depths of the Melodrama, After an Audiovisual Essay by Francisco Dias"
"Ana Carvalho","All Watched Over by Our Data Double"
"Ana Garcia-Alonzo","SPEERLoom: An Open-Source Loom Kit for Interdisciplinary Learning in Math, Engineering, and Textiles"
"Ana Isabel Soares","'Our Families' by Marta Pinto: An Audiovisual Essay on 'A Portuguese Farewell' and 'Tokyo Story'"
"Ana Jofre","Generating Facial Character: A Systematic Method Accumulating Expressive Histories"
"Ana Maria Paiva","Robotics-Based Interventions for Children’s Creativity"
"Ana Paula Baltazar","Rethinking cybernetics with a transfunctional approach to structure and organization"
"Ana Regina M Cuperschmid","Virtual Reconstruction of the Deconstructed Heritage: The Former Building of the Belo Horizonte School of Medicine"
"Ana Rewakowicz","Art and Science Intra-action of Collecting Water from Fog: Ethical Response-ability in Karen Barad’s Mattering"
"Ana Rodrigues","Creativity Support Tool for Sustainability: An AI-first Approach to Accelerating the Idea Selection Process"
"Ana Rodrigues","Made you look: crossing visual attention with computational design to create motion-based visual distractions"
"Ana Rodrigues","Glowing Lichen: Visually sensing social spaces"
"Ana Sofia Pereira","Beyond Non-Linearity: Tracing ""Pulp Fiction""’s Structure and Meaning"
"Ana Tajadura-Jiménez","Joakinator: An Interface for Transforming Body Movement and Perception through Machine Learning and Sonification of Muscle-Tone and Force"
"Anastasia Clarke","Shard-Speakers: An Inquiry into the History, Sonic Properties, and Musical Possibilities of Quartz Crystal Singing Bowls"
"Anastasia Tyurina","Simulating Photography: Images Made by the Scanning Electron Microscope"
"Anastasis Germanidis","Soundify: Matching Sound Effects to Video"
"Anatol Bologan","The Transmediated Self: An Interactive and Visual Metaphor of Human Cognition"
"Anatolii Tykhomyrov","The Problem of Introduction of Digital Technologies in the Performing Arts"
"Anders Eskildsen","Force dynamics as a design framework for mid-air musical interfaces"
"Anders Sundnes Løvlie","Algorithmic Ways of Seeing: Using Object Detection to Facilitate Art Exploration"
"Anders Sundnes Løvlie","Subtle Sound Design: Designing for Experience Blend in a Historic House Museum"
"Anders Sundnes Løvlie","Exploring affordances through design-after-design: the re-purposing of an exhibition artefact by museum visitors"
"Anderson Rocha","Comparative Latency Analysis of Optical and Inertial Motion Capture Systems for Gestural Analysis and Musical Performance"
"Andi Xu","Hacking, Switching, Combining: Understanding and Supporting DIY Assistive Technology Design by Blind People"
"Andre Holzapfel","Sounds of Futures Passed: Media Archaeology and Design Fiction as NIME Methodologies"
"Andre Holzapfel","Sensitiv – Designing a Sonic Co-play Tool for Interactive Dance"
"Andre Holzapfel","Ethically Aligned Stakeholder Elicitation (EASE): Case Study in Music-AI"
"Andrea Ballatore","Tracking Museums’ Online Responses to the COVID-19 Pandemic: A Study in Museum Analytics"
"Andrea Benedetti","Quaran.tiles. Archiving expressive digital places from Instagram during the COVID-19 pandemic"
"Andrea Giomi","Towards an Interactive Model-Based Sonification of Hand Gesture for Dance Performance"
"Andrea Gogova","Interspecies Communication — Water bodies"
