"name","is_institution","formal_version","chinese_name","related_university"
"British Antarctic Survey",True,"British Antarctic Survey","英国南极考察局",NULL
"Brock University",False,"Brock University","布鲁克大学",NULL
"Brooklyn",True,"Brooklyn","布鲁克林",NULL
"Brown Hotels",True,"Brown Hotels","布朗酒店",NULL
"Brown University",False,"Brown University","布朗大学",NULL
"Brunel University",False,"Brunel University","布鲁内尔大学",NULL
"Brunel University London",False,"Brunel University London","伦敦布鲁内尔大学",NULL
"Bulgarian Academy of Sciences",False,"Bulgarian Academy of Sciences","保加利亚科学院",NULL
"Burgas Free University",False,"Burgas Free University","布尔加斯自由大学",NULL
"Bursa Uludağ University",False,"Bursa Uludağ University","布尔萨乌鲁达大学",NULL
"Ca' Foscari University of Venice",False,"Ca' Foscari University of Venice","威尼斯卡福斯卡里大学",NULL
"Cairotronica",True,"Cairotronica","开罗电子艺术节",NULL
"California Institute for Integral Studies",False,"California Institute for Integral Studies","加利福尼亚整体研究学院",NULL
"California Institute for the Arts",False,"California Institute for the Arts","加州艺术学院",NULL
"California Institute of Integral Studies",False,"California Institute of Integral Studies","加州整体研究学院",NULL
"California Institute of Technology",False,"California Institute of Technology","加州理工学院",NULL
"California Institute of the Arts",False,"California Institute of the Arts","加利福尼亚艺术学院",NULL
"California State University San Marcos",False,"California State University San Marcos","加州州立大学圣马科斯分校",NULL
"California State University, Long Beach",False,"California State University, Long Beach","加利福尼亚州立大学长滩分校",NULL
"Canal Alliance",True,"Canal Alliance","运河联盟",NULL
"Cardiff Metropolitan University",False,"Cardiff Metropolitan University","加的夫城市大学",NULL
"Carleton University",False,"Carleton University","卡尔顿大学",NULL
"Carnegie Mellon University",False,"Carnegie Mellon University","卡内基梅隆大学",NULL
"CARTIF Centro Tecnológico",True,"CARTIF Centro Tecnológico","CARTIF技术中心",NULL
"Caspian Gardens",True,"Caspian Gardens","里海花园",NULL
"Catalan Institute for Research and Advanced Studies",True,"Catalan Institute for Research and Advanced Studies","加泰罗尼亚高等研究院",NULL
"Catholic University of Temuco",False,"Catholic University of Temuco","天主教特木科大学",NULL
"CCRMA, Stanford University",False,"CCRMA, Stanford University","斯坦福大学计算机音乐研究中心",NULL
"CEIARTE-UNTREF",True,"CEIARTE-UNTREF","布宜诺斯艾利斯国立三月大学艺术与电子艺术研究中心",NULL
"Center for Art and Media Karlsruhe",True,"Center for Art and Media Karlsruhe","卡尔斯鲁厄艺术与媒体中心","Karlsruhe University of Arts and Design"
"Center for Excellence in Film and Interactive Media Arts",True,"Center for Excellence in Film and Interactive Media Arts","电影与互动媒体艺术卓越中心",NULL
"Center for Interdisciplinary Research of Musical Creativity, Moscow State Conservatory",True,"Center for Interdisciplinary Research of Musical Creativity, Moscow State Conservatory","莫斯科国立音乐学院音乐创造跨学科研究中心","Moscow State Conservatory"
"Central Academy of Fine Arts",False,"Central Academy of Fine Arts","中央美术学院",NULL
"Central Conservatory of Music",False,"Central Conservatory of Music","中央音乐学院",NULL
"Central European Research Institute for Art History",True,"Central European Research Institute for Art History","中欧艺术史研究所",NULL
"Central Saint Martins, University of the Arts London",False,"University of the Arts London, Central Saint Martins","伦敦艺术大学中央圣马丁学院",NULL
"Centre de recherche interdisciplinaire en Réadaptation (CRIR)",True,"Centre de recherche interdisciplinaire en Réadaptation (CRIR)","康复跨学科研究中心",NULL
"Centre de Sciences Humaines",True,"Centre de Sciences Humaines","人文科学中心",NULL
"Centre d’arts Santa Mònica",True,"Centre d’arts Santa Mònica","圣莫尼卡艺术中心",NULL
"Centre d’Imagerie Scintigraphique de Blida",True,"Centre d’Imagerie Scintigraphique de Blida","布利达核医学影像中心",NULL
"Centre for Art and Communication",True,"Centre for Art and Communication","艺术与传播中心",NULL
"Centre for Cultural Informatics and Information Systems Laboratory, FORTH-ICS",True,"Centre for Cultural Informatics and Information Systems Laboratory, FORTH-ICS","FORTH-ICS文化信息学与信息系统实验室","University of Crete"
"Centre for Digital Entertainment, Geneva",True,"Centre for Digital Entertainment, Geneva","日内瓦数字娱乐中心",NULL
"Centre for Research and Technology Hellas",True,"Centre for Research and Technology Hellas","希腊研究与技术中心","Aristotle University of Thessaloniki"
"Centro Universitário Newton Paiva",False,"Centro Universitário Newton Paiva","牛顿派瓦大学中心",NULL
"CESI École d'Ingénieurs",False,"CESI École d'Ingénieurs","CESI工程师学院",NULL
"CESI, Reims",True,"CESI, Reims","兰斯CESI工程学院","CESI École d'Ingénieurs"
"Chalmers University of Technology",False,"Chalmers University of Technology","查尔姆斯理工大学",NULL
"Chandigarh University",False,"Chandigarh University","昌迪加尔大学",NULL
"Chapman University",False,"Chapman University","查普曼大学",NULL
"Charles University",False,"Charles University","查尔斯大学",NULL
"Charles University in Prague",False,"Charles University in Prague","布拉格查尔斯大学",NULL
"China Academy of Art",False,"China Academy of Art","中国美术学院",NULL
"China Conservatory of Music",False,"China Conservatory of Music","中国音乐学院",NULL
"China University of Mining and Technology",False,"China University of Mining and Technology","中国矿业大学",NULL
"Chinese Academy of Sciences",True,"Chinese Academy of Sciences","中国科学院",NULL
"Chung-Ang University",False,"Chung-Ang University","中央大学",NULL
"Cirque du Soleil",True,"Cirque du Soleil","太阳马戏团",NULL
"CISUC",True,"CISUC","科英布拉大学信息学与系统工程中心","University of Coimbra"
"CITERES lab",True,"CITERES lab","CITERES实验室",NULL
"City University of Hong Kong",False,"City University of Hong Kong","香港城市大学",NULL
"City University of New York",False,"City University of New York","纽约市立大学",NULL
"City, University of London",False,"City, University of London","伦敦城市大学",NULL
"Clarkson University",False,"Clarkson University","克拉克森大学",NULL
"CNRS",True,"CNRS","法国国家科学研究中心",NULL
"CNRS UMR 5292",True,"CNRS UMR 5292","法国国家科学研究中心 UMR 5292",NULL
"CNRS-University of Montpellier LIRMM",True,"CNRS-University of Montpellier LIRMM","法国国家科学研究中心-蒙彼利埃大学LIRMM实验室","Université de Montpellier"
"CNWL NHS Foundation Trust",True,"CNWL NHS Foundation Trust","CNWL英国国家医疗服务信托基金",NULL
"Codarts Rotterdam",False,"Codarts Rotterdam","鹿特丹艺术学院",NULL
"CODE University of Applied Sciences",False,"CODE University of Applied Sciences","CODE应用科学大学",NULL
"Colby College",False,"Colby College","科尔比学院",NULL
"College For Creative Studies",False,"College For Creative Studies","创意研究学院",NULL
"College of Charleston",False,"College of Charleston","查尔斯顿学院",NULL
"College of Engineering, Pune",False,"College of Engineering, Pune","浦那工程学院",NULL
"Collège de ’Pataphysique, Paris",True,"Collège de ’Pataphysique, Paris","巴黎拟态物理学院",NULL
"Collège Édouard-Montpetit",False,"Collège Édouard-Montpetit","爱德华-蒙佩蒂特学院",NULL
"Colorado College",False,"Colorado College","科罗拉多学院",NULL
"Columbia College Chicago",False,"Columbia College Chicago","哥伦比亚学院芝加哥分校",NULL
"Columbia University",False,"Columbia University","哥伦比亚大学",NULL
"Comenius University in Bratislava",False,"Comenius University in Bratislava","布拉迪斯拉发科门纽斯大学",NULL
"Communication University of China",False,"Communication University of China","中国传媒大学",NULL
"Complexity Science Hub, Vienna",True,"Complexity Science Hub, Vienna","维也纳复杂科学中心",NULL
"Complutense University of Madrid",False,"Complutense University of Madrid","马德里康普顿斯大学",NULL
"Computer Vision Center",True,"Computer Vision Center","计算机视觉中心",NULL
"Concordia University",False,"Concordia University","康考迪亚大学",NULL
"Concordia University, Canada",False,"Concordia University, Canada","加拿大康考迪亚大学",NULL
"Confluence Recording Co.",True,"Confluence Recording Co.","Confluence录音公司",NULL
"Connecticut College",False,"Connecticut College","康涅狄格学院",NULL
"Conservatorio Statale di Musica ""A. Casella""",False,"Conservatorio Statale di Musica ""A. Casella""","阿尔弗雷多·卡塞拉国立音乐学院",NULL
"Conservatory of Music C. Monteverdi",False,"Conservatory of Music C. Monteverdi","克劳迪奥·蒙特威尔第音乐学院",NULL
"Conservatory of Music F. A. Bonporti",False,"Conservatory of Music F. A. Bonporti","F.A.邦波尔蒂音乐学院",NULL
"Conservatory of Music Giuseppe Verdi",False,"Conservatory of Music Giuseppe Verdi","朱塞佩·威尔第音乐学院",NULL
"Consiglio Nazionale delle Ricerche",True,"Consiglio Nazionale delle Ricerche","意大利国家研究委员会",NULL
"Cornell Tech",False,"Cornell Tech","康奈尔科技学院",NULL
"Cornell University",False,"Cornell University","康奈尔大学",NULL
"Coventry University",False,"Coventry University","考文垂大学",NULL
"CQUniversity",False,"CQUniversity","中央昆士兰大学",NULL
"CRAC UK",True,"CRAC UK","CRAC英国职业研究中心",NULL
"Critical Media Lab",True,"Critical Media Lab","批判媒体实验室","University of Applied Sciences and Arts Northwestern Switzerland"
"CrossLAB, University of Fortaleza",False,"CrossLAB, University of Fortaleza","福塔莱萨大学CrossLAB",NULL
"CRS4",True,"CRS4","CRS4研究中心",NULL
"CSIRO",True,"CSIRO","澳大利亚联邦科学与工业研究组织",NULL
"CTI Renato Archer",True,"CTI Renato Archer","CTI Renato Archer",NULL
"Curtin University",False,"Curtin University","科廷大学",NULL
"CYENS Center of Excellence",True,"CYENS Center of Excellence","CYENS卓越中心","University of Cyprus"
"CYLAND Audio Archive",True,"CYLAND Audio Archive","CYLAND 音频档案馆",NULL
"CYLAND Media Art Lab",True,"CYLAND Media Art Lab","CYLAND 媒体艺术实验室",NULL
"CYLAND Video Archive",True,"CYLAND Video Archive","CYLAND 视频档案馆",NULL
"CymaSpace",True,"CymaSpace","CymaSpace",NULL
"CyPhy Media Limited",True,"CyPhy Media Limited","CyPhy媒体有限公司",NULL
"Cyprus University of Technology",False,"Cyprus University of Technology","塞浦路斯科技大学",NULL
"Czech Technical University in Prague",False,"Czech Technical University in Prague","布拉格捷克理工大学",NULL
"D2 Nova Corporation",True,"D2 Nova Corporation","D2 Nova公司",NULL
"Dalarna University",False,"Dalarna University","达拉那大学",NULL
"Dalhousie University",False,"Dalhousie University","达尔豪斯大学",NULL
"Dalian Minzu University",False,"Dalian Minzu University","大连民族大学",NULL
"Dalian University of Technology",False,"Dalian University of Technology","大连理工大学",NULL
"Dankook University",False,"Dankook University","祥明大学",NULL
"Danube University Krems",False,"Danube University Krems","多瑙河大学克雷姆斯",NULL
"Dartmouth College",False,"Dartmouth College","达特茅斯学院",NULL
"Dassault Systèmes",True,"Dassault Systèmes","达索系统公司",NULL
"DataPaulette",True,"DataPaulette","DataPaulette",NULL
"De Montfort University",False,"De Montfort University","德蒙福特大学",NULL
"Deakin Motion.Lab",True,"Deakin Motion.Lab","迪肯大学运动实验室",NULL
"Deakin University",False,"Deakin University","迪肯大学",NULL
"Delft University of Technology",False,"Delft University of Technology","代尔夫特理工大学",NULL
"Department of Computing",True,"Department of Computing","计算机系",NULL
"Design Academy Eindhoven",False,"Design Academy Eindhoven","埃因霍温设计学院",NULL
"Deutsches Museum Nürnberg",True,"Deutsches Museum Nürnberg","纽伦堡德国博物馆",NULL
"DFKI",True,"DFKI","德国人工智能研究中心",NULL
"Digital Art Festival - FAD",True,"Digital Art Festival - FAD","数字艺术节 - FAD","University of Barcelona"
"Digital Catapult",True,"Digital Catapult","数字弹射公司",NULL
"Digital Information in Construction Engineering (DICE) Technologies",True,"Digital Information in Construction Engineering (DICE) Technologies","DICE数字化建设工程技术",NULL
"Digital Science and Center for Complex Network Research at Northeastern University",True,"Digital Science and Center for Complex Network Research at Northeastern University","东北大学数字科学与复杂网络研究中心","Northeastern University"
"Directorate of School Education Kashmir",True,"Directorate of School Education Kashmir","克什米尔学校教育司",NULL
"Domestika",True,"Domestika","Domestika",NULL
"Donghua University",False,"Donghua University","东华大学",NULL
"Dos Islas Estudio",True,"Dos Islas Estudio","Dos Islas工作室",NULL
"Dr. Clown Foundation",True,"Dr. Clown Foundation","小丑医生基金会",NULL
"Dresden University of Technology",False,"Dresden University of Technology","德累斯顿工业大学",NULL
"Drexel University",False,"Drexel University","德雷塞尔大学",NULL
"Duke Kunshan University",False,"Duke Kunshan University","昆山杜克大学",NULL
"Duke University",False,"Duke University","杜克大学",NULL
"Dundalk Institute of Technology",False,"Dundalk Institute of Technology","邓多克理工学院",NULL
"Dunedin School of Art",False,"Dunedin School of Art","达尼丁艺术学院",NULL
"Durham University",False,"Durham University","达勒姆大学",NULL
"East Carolina University",False,"East Carolina University","东卡罗来纳大学",NULL
"East China University of Science and Technology",False,"East China University of Science and Technology","华东理工大学",NULL
"Eberhard Karls University of Tübingen",False,"Eberhard Karls University of Tübingen","图宾根大学",NULL
"Ecole nationale Supérieure d'Informatique",False,"Ecole nationale Supérieure d'Informatique","阿尔及利亚国家信息工程高等学校",NULL
"Ecole Polytechnique d'Architecture et d'Urbanisme",False,"Ecole Polytechnique d'Architecture et d'Urbanisme","阿尔及利亚建筑与城市规划高等学校",NULL
"Edge Intelligence Systems Inc.",True,"Edge Intelligence Systems Inc.","Edge Intelligence Systems公司",NULL
"Edinburgh Napier University",False,"Edinburgh Napier University","爱丁堡纳皮尔大学",NULL
"Edith Cowan University",False,"Edith Cowan University","埃迪斯科文大学",NULL
"EE – Experimental Emerging Art Norway",True,"EE – Experimental Emerging Art Norway","EE – 挪威实验性新兴艺术",NULL
"Eindhoven University",False,"Eindhoven University","埃因霍温大学",NULL
"Eindhoven University of Technology",False,"Eindhoven University of Technology","埃因霍温理工大学",NULL
"Einstein Center for Digital Future",True,"Einstein Center for Digital Future","爱因斯坦数字未来中心",NULL
"ELEKTRA International Digital Art Festival",True,"ELEKTRA International Digital Art Festival","ELEKTRA国际数字艺术节",NULL
"Elisava Design School",False,"Elisava Design School","埃利萨瓦设计学院",NULL
"Emily Carr University of Art and Design",False,"Emily Carr University of Art and Design","艾米丽卡尔艺术与设计大学",NULL
"Emory University",False,"Emory University","埃默里大学",NULL
"Enable Group, Microsoft Research",True,"Enable Group, Microsoft Research","微软研究院Enable小组",NULL
"Engineering University of PAP",False,"Engineering University of PAP","巴勒斯坦理工大学",NULL
"English Heritage",True,"English Heritage","英国遗产组织",NULL
"Ensemble Vortex",True,"Ensemble Vortex","漩涡合奏团",NULL
"EPITA School of Engineering and Computer Science",False,"EPITA School of Engineering and Computer Science","EPITA工程师学院",NULL
"EPITA, LRE",True,"EPITA, LRE","EPITA计算机科学高等学院LRE实验室","EPITA School of Engineering and Computer Science"
"Erasmus University Rotterdam",False,"Erasmus University Rotterdam","鹿特丹伊拉斯姆斯大学",NULL
"Ernest G. Welch School of Art & Design",False,"Ernest G. Welch School of Art & Design","欧内斯特·G·韦尔奇艺术与设计学院",NULL
"Escola Superior de Media Artes e Design",False,"Escola Superior de Media Artes e Design","高等媒体艺术与设计学院",NULL
"ESIEE Paris",False,"ESIEE Paris","巴黎高等电子工程师学院",NULL
"Estonian Academy of Arts",False,"Estonian Academy of Arts","爱沙尼亚艺术学院",NULL
"ET@T",True,"ET@T","ET@T",NULL
"ETH Zurich",False,"ETH Zurich","苏黎世联邦理工学院",NULL
"EUR ArTeC",True,"EUR ArTeC","EUR ArTeC","Université Paris 8"
"European Institute of Design",True,"European Institute of Design","欧洲设计学院",NULL
"evulpo AG",True,"evulpo AG","evulpo公司",NULL
"Ewha Womans University",False,"Ewha Womans University","梨花女子大学",NULL
"FACT Liverpool",True,"FACT Liverpool","利物浦FACT",NULL
"Fairy Devices Inc.",True,"Fairy Devices Inc.","Fairy Devices公司",NULL
"Falmouth University",False,"Falmouth University","法尔茅斯大学",NULL
"Fatih Sultan Mehmet Vakif University",False,"Fatih Sultan Mehmet Vakif University","法提赫苏丹穆罕默德瓦基夫大学",NULL
"Federal Institute of Amazonas",False,"Federal Institute of Amazonas","亚马逊联邦学院",NULL
"Federal University of Acre",False,"Federal University of Acre","阿克雷联邦大学",NULL
"Federal University of Amazonas",False,"Federal University of Amazonas","亚马逊联邦大学",NULL
"Federal University of Paraíba",False,"Federal University of Paraíba","帕拉伊巴联邦大学",NULL
"Federal University of Rio de Janeiro",False,"Federal University of Rio de Janeiro","里约热内卢联邦大学",NULL
"Federal University of São João del-Rei",False,"Federal University of São João del-Rei","圣若昂德尔雷伊联邦大学",NULL
"FHNW Academy of Art and Design",False,"FHNW Academy of Art and Design","瑞士西北应用科学大学艺术与设计学院",NULL
"Film University Babelsberg KONRAD WOLF",False,"Film University Babelsberg KONRAD WOLF","巴贝尔斯堡康拉德·沃尔夫电影大学",NULL
"FLAIM Systems",True,"FLAIM Systems","FLAIM 系统公司",NULL
"Flame University",False,"Flame University","烈焰大学",NULL
"Floating Reverie",True,"Floating Reverie","Floating Reverie",NULL
"Florida Atlantic University",False,"Florida Atlantic University","佛罗里达大西洋大学",NULL
"Florida Gulf Coast University",False,"Florida Gulf Coast University","佛罗里达海湾海岸大学",NULL
"Florida International University",False,"Florida International University","佛罗里达国际大学",NULL
"Florida State University",False,"Florida State University","佛罗里达州立大学",NULL
"Fondazione Museo delle Antichità Egizie di Torino",True,"Fondazione Museo delle Antichità Egizie di Torino","都灵埃及文物博物馆基金会",NULL
"Fontys University of Applied Sciences",False,"Fontys University of Applied Sciences","丰特斯应用科学大学",NULL
"Fort Lewis College",False,"Fort Lewis College","福特刘易斯学院",NULL
"FR2022 Neurosciences CNRS",True,"FR2022 Neurosciences CNRS","法国国家科学研究中心神经科学研究所 FR2022",NULL
"Frankfurt University of Music and Performing Arts",False,"Frankfurt University of Music and Performing Arts","法兰克福音乐与表演艺术大学",NULL
"Fraunhofer IZM",True,"Fraunhofer IZM","弗劳恩霍夫可靠性和微集成研究所",NULL
"Fraunhofer MEVIS",True,"Fraunhofer MEVIS","弗劳恩霍夫医学图像计算研究所",NULL
"Free University of Bozen-Bolzano",False,"Free University of Bozen-Bolzano","博尔扎诺自由大学",NULL
"Freie Universität Berlin",False,"Freie Universität Berlin","柏林自由大学",NULL
"French-German Research Institute of Saint-Louis (ISL)",True,"French-German Research Institute of Saint-Louis (ISL)","圣路易法德研究所",NULL
"Friedrich Alexander University",False,"Friedrich Alexander University","弗里德里希-亚历山大大学",NULL
"Friedrich-Alexander-Universität Erlangen-Nürnberg",False,"Friedrich-Alexander-Universität Erlangen-Nürnberg","埃尔朗根-纽伦堡大学",NULL
"Fu Jen Catholic University",False,"Fu Jen Catholic University","辅仁大学",NULL
"Fudan University",False,"Fudan University","复旦大学",NULL
"Fuji Xerox Palo Alto Laboratory",True,"Fuji Xerox Palo Alto Laboratory","富士施乐帕洛阿尔托研究所",NULL
"Fukuoka Jogakuin University",False,"Fukuoka Jogakuin University","福冈女学院大学",NULL
